,Provider Number,Hospital Name,Address 1,lat,lng,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services
0,010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,31.21555,-85.36257,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes
1,010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,34.22145,-86.1594,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes
2,010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,34.79511,-87.68516,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,Yes
3,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,31.29216,-86.25543,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,Yes
4,010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,31.69341,-86.26536,LUVERNE,AL,36049,CRENSHAW,3343353374,Acute Care Hospitals,Proprietary,Yes
5,010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,34.44578,-86.93637,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,Proprietary,No
6,010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,34.36525,-86.42141,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
7,010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,33.59576,-86.66736,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,Yes
8,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,34.4406,-85.7572,FORT PAYNE,AL,35968,DE KALB,2568453150,Acute Care Hospitals,Proprietary,Yes
9,010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,31.93087,-87.73831,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,Proprietary,No
10,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,33.25218,-86.81363,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,Yes
11,010018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,33.50346,-86.80291,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes
12,010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,34.74653,-87.69903,SHEFFIELD,AL,35660,COLBERT,2563864556,Acute Care Hospitals,Government - Hospital District or Authority,Yes
13,010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,31.45177,-85.63111,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,Yes
14,010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,34.16278,-85.64348,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,Yes
15,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,32.32739,-86.2767,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,Yes
16,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,32.36682,-86.28498,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,Yes
17,010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,32.82372,-85.16978,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,Voluntary non-profit - Other,Yes
18,010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,31.42913,-86.07626,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,Government - Hospital District or Authority,Yes
19,010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,32.64045,-85.40394,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,Yes
20,010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,33.31154,-85.48495,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,Yes
21,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,33.50614,-86.8019,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes
22,010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,32.53554,-85.90654,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,Yes
23,010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,34.19856,-86.80417,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
24,010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,31.29777,-86.49519,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,Yes
25,010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,33.66766,-85.8247,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,Yes
26,010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,34.7213,-86.58125,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes
27,010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,34.00941,-85.96781,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,Yes
28,010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,32.85416,-86.62275,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,Voluntary non-profit - Private,Yes
29,010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,34.12659,-87.99044,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,Yes
30,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,33.70772,-87.82372,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes
